host,ssl,tcp,raw,port,protocol,latency_ms,version_raw,banner_raw,lat,lon,country,asn
137.184.244.174,,,"['137.184.244.174', '137.184.244.174', ['v1.4.3', 's50002', 't50001']]",50001.0,tcp,5856.29,"{""jsonrpc"":""2.0"",""result"":[""ElectrumX 1.18.0"",""1.4""],""id"":1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   }","{""jsonrpc"":""2.0"",""result"":""You are connected to an ElectrumX 1.18.0 server."",""id"":2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           }",37.3931,-121.962,United States,"AS14061 DigitalOcean, LLC"
194.233.69.180,,50001.0,"['194.233.69.180', 'electrumx.dev', ['v1.4.3', 's50002', 't50001']]",50001.0,tcp,6076.51,"{""jsonrpc"":""2.0"",""result"":[""ElectrumX 1.18.0"",""1.4""],""id"":1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   }","{""jsonrpc"":""2.0"",""result"":""You are connected to an ElectrumX 1.18.0 server."",""id"":2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           }",1.2821,103.851,Singapore,AS141995 Contabo Asia Private Limited
37.27.18.174,,,"['37.27.18.174', '37.27.18.174', ['v1.4.3', 's50002']]",,,,,,60.1719,24.9347,Finland,AS24940 Hetzner Online GmbH
18.221.79.132,,50001.0,"['18.221.79.132', 'btc5.publicrypto.com', ['v1.4.3', 's60002']]",,,,,,40.0992,-83.1141,United States,"AS16509 Amazon.com, Inc."
18.217.9.91,50002.0,50001.0,"['18.217.9.91', 'btc.byte-share.com', ['v1.4.3', 's60002']]",,,,,,40.0992,-83.1141,United States,"AS16509 Amazon.com, Inc."
35.189.13.187,,,"['35.189.13.187', '35.189.13.187', ['v1.4.3', 's50002', 't50001']]",50001.0,tcp,7056.47,"{""jsonrpc"":""2.0"",""result"":[""ElectrumX 1.18.0"",""1.4""],""id"":1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   }","{""jsonrpc"":""2.0"",""result"":""You are connected to an ElectrumX 1.18.0 server."",""id"":2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           }",-33.8688,151.2092,Australia,AS396982 Google LLC
23.155.96.131,50002.0,50001.0,"['23.155.96.131', 'electrum.blockstream.info', ['v1.4', 's50002', 't50001']]",50002.0,ssl,1198.84,"{""id"":1,""jsonrpc"":""2.0"",""result"":[""electrs-esplora 0.4.1"",""1.4""]}","{""id"":2,""jsonrpc"":""2.0"",""result"":""\""Welcome to electrum.blockstream.info - no logs and Tor support - Please learn about running your own server!\""""}",37.4036,-122.113,United States,AS396997 Blockstream USA Corporation
107.173.244.87,,50001.0,"['107.173.244.87', '2electrumx.hopto.me', ['v1.4.3', 's50002']]",,,,,,47.6109,-122.3303,United States,AS36352 HostPapa
159.69.244.130,50002.0,50001.0,"['159.69.244.130', 'paris.anties.org', ['v1.4.3', 's50002', 't50001']]",50002.0,ssl,1031.9,"{""jsonrpc"":""2.0"",""result"":[""ElectrumX 1.16.0"",""1.4""],""id"":1}","{""jsonrpc"":""2.0"",""result"":""You are connected to an ElectrumX 1.16.0 server."",""id"":2}",50.4777,12.3649,Germany,AS24940 Hetzner Online GmbH
89.58.10.65,,50001.0,"['89.58.10.65', 'unholy.fiatfaucet.com', ['v1.5.3', 's50002', 't50001']]",,,,,,49.4423,11.0191,Germany,AS197540 netcup GmbH
52.14.173.200,50002.0,50001.0,"['52.14.173.200', 'btc3.hashpublic.com', ['v1.4.3', 's60002']]",,,,,,40.0992,-83.1141,United States,"AS16509 Amazon.com, Inc."
176.9.150.253,,50001.0,"['176.9.150.253', 'electrum.jochen-hoenicke.de', ['v1.5.3', 's50006', 't50099']]",,,,,,50.4777,12.3649,Germany,AS24940 Hetzner Online GmbH
206.189.83.21,,,"['206.189.83.21', '206.189.83.21', ['v1.4.3', 's50002']]",,,,,,1.32123,103.695,Singapore,"AS14061 DigitalOcean, LLC"
34.87.227.41,,,"['34.87.227.41', '34.87.227.41', ['v1.4.3', 's50002', 't50001']]",50001.0,tcp,5861.84,"{""jsonrpc"":""2.0"",""result"":[""ElectrumX 1.18.0"",""1.4""],""id"":1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   }","{""jsonrpc"":""2.0"",""result"":""You are connected to an ElectrumX 1.18.0 server."",""id"":2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           }",-33.8688,151.2092,Australia,AS396982 Google LLC
98.255.225.228,,50001.0,"['98.255.225.228', 'electrum.coinfroggy.com', ['v1.5.3', 's50002', 't50001']]",50001.0,tcp,1250.1,"{""id"":1,""jsonrpc"":""2.0"",""result"":[""Fulcrum 1.12.0"",""1.4""]}","{""id"":2,""jsonrpc"":""2.0"",""result"":""╔══════════════════════════════════════════════════════════════════════╗\n║              Welcome to CoinFroggy’s Electrum Server                 ║\n║              Serving the Bitcoin community since 2017                ║\n╠══════════════════════════════════════════════════════════════════════╣\n║ Running Fulcrum 1.12.0                                               ║\n║ with Satoshi 29.0.0                                                  ║\n╠══════════════════════════════════════════════════════════════════════╣\n║ This server does NOT log Bitcoin addresses or IP information.        ║\n║ Your privacy is respected.                                           ║\n╠══════════════════════════════════════════════════════════════════════╣\n║ Donation address: bc1qkgrfx66nz8tlrtwr4mhssafy0lkpvs79an7vlp         ║\n╚══════════════════════════════════════════════════════════════════════╝\n""}",37.6752,-120.9465,United States,"AS7922 Comcast Cable Communications, LLC"
38.92.26.162,,50001.0,"['38.92.26.162', 'fulcrum2.not.fyi', ['v1.6', 's51002']]",,,,,,40.5084,-111.8838,United States,"AS26042 FiberState, LLC"
