host,port,protocol,latency_version,latency_banner,latency_ping,latency_history,supports_p2pkh,supports_p2wpkh,supports_p2tr,error_version,error_banner,error_ping,error_history,response_hash_version,response_hash_banner,response_hash_ping,response_hash_history
137.184.244.174,50001,tcp,191.70618057250977,192.918062210083,212.93997764587402,193.94612312316895,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
194.233.69.180,50001,tcp,348.87003898620605,364.87317085266113,355.78298568725586,355.12709617614746,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.32.12.235,50001,tcp,222.1367359161377,220.48187255859375,219.62714195251465,218.03593635559082,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
35.189.13.187,50001,tcp,313.3370876312256,311.57612800598145,310.5020523071289,322.3867416381836,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
159.69.244.130,50002,ssl,235.49199104309082,228.2419204711914,229.83312606811523,230.61704635620117,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
34.87.227.41,50001,tcp,311.6469383239746,313.9188289642334,315.2351379394531,313.6749267578125,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
98.255.225.228,50001,tcp,229.65669631958008,227.19788551330566,225.1138687133789,232.1469783782959,True,True,True,ok,ok,ok,ok,f6471fa14387392e47cd2d3bf1cf7c6ab0d994ba6ec1f677ea7d4d9dd63d2507,e32b99c14a1de329a6fc53c970e10d4658d44b21157a510e7cf893e5feb86b8a,3e0d287babded1d6fc492964752683810918ee4397bad81fcfcf1fd1bf44db9f,1a8e24140b5756a8e851f036c6356b8d9948d04ac8a2dd17ac7357e1feacc211
38.102.86.40,50001,tcp,138.35787773132324,139.2500400543213,138.7498378753662,143.42498779296875,True,True,True,ok,ok,ok,ok,f6471fa14387392e47cd2d3bf1cf7c6ab0d994ba6ec1f677ea7d4d9dd63d2507,1d54d6d628f36dd964b1d9e85d5c0662b146869820137680b615e7bc06e62833,3e0d287babded1d6fc492964752683810918ee4397bad81fcfcf1fd1bf44db9f,1a8e24140b5756a8e851f036c6356b8d9948d04ac8a2dd17ac7357e1feacc211
34.18.69.244,50001,tcp,296.0999011993408,335.68406105041504,299.2238998413086,313.9162063598633,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
35.244.75.164,50001,tcp,313.8129711151123,318.9990520477295,315.72628021240234,312.14427947998047,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
193.107.109.79,50001,tcp,,,,,False,False,False,connection_failed,connection_failed,connection_failed,connection_failed,,,,
35.83.18.93,50002,ssl,220.00479698181152,213.73414993286133,208.22882652282715,860.2221012115479,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
65.109.168.25,50002,ssl,262.1610164642334,267.9731845855713,243.7891960144043,241.57190322875977,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
34.172.232.121,50001,tcp,155.10296821594238,163.6497974395752,155.49206733703613,155.04908561706543,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.133.127.109,50001,tcp,157.32383728027344,153.670072555542,176.17201805114746,156.01706504821777,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.173.233.138,50001,tcp,159.5613956451416,165.82179069519043,159.50608253479004,153.72586250305176,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
203.132.94.196,50001,tcp,355.62586784362793,356.10508918762207,352.56290435791016,352.26893424987793,True,True,True,ok,ok,ok,ok,f7b2552df8e6e067391e706a3181a72c1455deb88e1d4cedefded56c83f4fbcd,6b208b1a648eb2465b9bfdb02b003d85b4b7cc1c8624a545b29b4a38636e74fb,3e0d287babded1d6fc492964752683810918ee4397bad81fcfcf1fd1bf44db9f,1a8e24140b5756a8e851f036c6356b8d9948d04ac8a2dd17ac7357e1feacc211
159.69.189.9,50002,ssl,244.22907829284668,228.97577285766602,229.37393188476562,229.93087768554688,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
34.50.93.134,50001,tcp,360.3658676147461,347.6889133453369,349.40385818481445,353.8179397583008,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
104.198.149.61,50001,tcp,155.4889678955078,152.8458595275879,155.00378608703613,157.34601020812988,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.118.1.54,50001,tcp,228.69396209716797,228.26075553894043,227.9658317565918,228.37424278259277,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
52.67.225.163,50001,tcp,29.952049255371094,26.288986206054688,37.94217109680176,27.831077575683594,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
151.241.227.111,50001,tcp,243.48115921020508,238.90423774719238,286.5169048309326,233.65092277526855,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
162.81.184.63,50001,tcp,154.24084663391113,151.2320041656494,156.8160057067871,158.57887268066406,True,True,True,ok,ok,ok,ok,f6471fa14387392e47cd2d3bf1cf7c6ab0d994ba6ec1f677ea7d4d9dd63d2507,1d54d6d628f36dd964b1d9e85d5c0662b146869820137680b615e7bc06e62833,3e0d287babded1d6fc492964752683810918ee4397bad81fcfcf1fd1bf44db9f,1a8e24140b5756a8e851f036c6356b8d9948d04ac8a2dd17ac7357e1feacc211
3.7.50.22,50001,tcp,337.85080909729004,336.58599853515625,342.44298934936523,344.9437618255615,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
34.171.34.8,50001,tcp,160.03894805908203,162.30201721191406,156.28600120544434,155.6379795074463,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.128.68.204,50001,tcp,361.47618293762207,429.1348457336426,356.950044631958,353.06692123413086,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
23.176.184.72,50002,ssl,232.48696327209473,234.06720161437988,231.62603378295898,239.80188369750977,True,True,True,ok,ok,ok,ok,2a1635a1dcff5a33b617160458bc582777ccb61be15e7348c9c1f5e6db02a6ff,82d14cb013e62c9a0e2f6cb815f91c06bf01264864513b11b740476af22cecc4,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
34.39.9.100,50001,tcp,208.55975151062012,206.84409141540527,210.22677421569824,207.58795738220215,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.121.73.82,50001,tcp,162.09912300109863,162.5680923461914,155.79605102539062,157.1059226989746,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
35.197.22.214,50001,tcp,185.66393852233887,185.8658790588379,186.9959831237793,185.98675727844238,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
134.199.142.123,50001,tcp,193.06111335754395,197.98898696899414,200.64377784729004,193.56584548950195,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.18.66.115,50001,tcp,298.92611503601074,337.66913414001465,300.6119728088379,291.04113578796387,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.40.149.244,50001,tcp,312.1490478515625,322.1418857574463,315.12999534606934,314.3019676208496,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
93.57.81.163,50002,ssl,231.2467098236084,228.9268970489502,232.50102996826172,231.28914833068848,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
164.90.247.216,50001,tcp,208.95719528198242,206.9377899169922,206.06589317321777,207.03506469726562,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
72.203.18.192,50001,tcp,201.06077194213867,208.79840850830078,211.6260528564453,208.0860137939453,True,True,True,ok,ok,ok,ok,f7b2552df8e6e067391e706a3181a72c1455deb88e1d4cedefded56c83f4fbcd,a117f8666641b29addd6caf96fd9271c2cbb430df26476cf39af3c4622a1ae5d,3e0d287babded1d6fc492964752683810918ee4397bad81fcfcf1fd1bf44db9f,1a8e24140b5756a8e851f036c6356b8d9948d04ac8a2dd17ac7357e1feacc211
83.97.20.182,50001,tcp,,,,,False,False,False,connection_failed,connection_failed,connection_failed,connection_failed,,,,
35.153.173.144,50001,tcp,133.72302055358887,134.80186462402344,134.34529304504395,132.39812850952148,True,True,True,ok,ok,ok,ok,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894
137.184.125.23,50001,tcp,195.03116607666016,194.40007209777832,191.63966178894043,194.49496269226074,True,True,True,ok,ok,ok,ok,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894
