host,port,honeypot_score,risk_level,signals
137.184.244.174,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
194.233.69.180,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.32.12.235,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
35.189.13.187,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
159.69.244.130,50002,79,HIGH,reused_certificate_cluster_of_17;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_231
34.87.227.41,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
98.255.225.228,50001,48,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_14
38.102.86.40,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_37
34.18.69.244,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
35.244.75.164,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
193.107.109.79,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
35.83.18.93,50002,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_231
65.109.168.25,50002,79,HIGH,reused_certificate_cluster_of_17;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_231
34.172.232.121,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.133.127.109,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.173.233.138,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
203.132.94.196,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_15
159.69.189.9,50002,79,HIGH,reused_certificate_cluster_of_17;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_231
34.50.93.134,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
104.198.149.61,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.118.1.54,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
52.67.225.163,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_231
151.241.227.111,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
162.81.184.63,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_37
3.7.50.22,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_231
34.171.34.8,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.128.68.204,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
23.176.184.72,50002,77,HIGH,reused_certificate_cluster_of_16;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_16
34.39.9.100,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.121.73.82,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
35.197.22.214,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
134.199.142.123,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.18.66.115,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.40.149.244,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
93.57.81.163,50002,75,HIGH,reused_certificate_cluster_of_15;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_231
164.90.247.216,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
72.203.18.192,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_17
83.97.20.182,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
35.153.173.144,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_124
137.184.125.23,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_124
34.88.214.4,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
164.92.148.39,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_124
143.198.108.195,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_124
188.214.30.78,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_124
148.251.87.112,50002,82,HIGH,reused_certificate_cluster_of_17;self_signed_or_unknown_issuer;suspicious_subject_CN;missing_p2wpkh_support;identical_behavior_cluster_27
3.98.183.7,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_231
82.136.98.249,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_18
84.234.98.29,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
15.184.160.64,50002,73,HIGH,reused_certificate_cluster_of_14;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_231
52.78.7.101,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_231
35.238.228.147,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
134.199.136.239,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.101.170.221,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.87.220.132,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
192.99.37.149,50002,49,MEDIUM,reused_certificate_cluster_of_6;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_11
34.116.254.239,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
98.127.140.101,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_15
95.216.246.152,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_37
34.175.239.109,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
35.198.35.60,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
35.194.147.142,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
116.202.30.237,50002,79,HIGH,reused_certificate_cluster_of_17;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_231
49.12.35.19,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_231
129.212.164.62,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
128.140.49.4,50002,63,MEDIUM,reused_certificate_cluster_of_9;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_231
91.107.207.117,50002,81,HIGH,reused_certificate_cluster_of_18;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_231
88.119.165.222,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_124
34.94.210.245,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.101.39.54,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
168.119.33.233,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_124
212.227.150.147,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_17
168.119.136.176,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_49
35.225.75.62,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
192.95.33.19,50002,47,MEDIUM,reused_certificate_cluster_of_5;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_11
96.237.231.17,50002,81,HIGH,reused_certificate_cluster_of_18;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_18
24.199.71.49,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
34.96.220.189,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
86.206.48.92,50002,84,HIGH,reused_certificate_cluster_of_18;self_signed_or_unknown_issuer;suspicious_subject_CN;missing_taproot_support;identical_behavior_cluster_27
23.138.36.32,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_49
34.128.81.215,50001,66,MEDIUM,no_tls_certificate_detected;cannot_serve_history;missing_p2wpkh_support;missing_taproot_support;identical_behavior_cluster_824
5.9.80.2,50001,50,MEDIUM,no_tls_certificate_detected;identical_behavior_cluster_49
3.83.58.39,50002,79,HIGH,reused_certificate_cluster_of_17;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_17
49.12.38.161,50002,81,HIGH,reused_certificate_cluster_of_18;self_signed_or_unknown_issuer;suspicious_subject_CN;identical_behavior_cluster_231
